緯度,経度,施設名,住所
34.660139,135.509024,㈱電響社,大阪市浪速区日本橋東2-1-3
34.662022,135.505766,（株）ナニワネジ,大阪市浪速区日本橋3-7-2
34.65395,135.495281,（株）マルハシ,大阪市浪速区大国２－１０－６
34.652787,135.503082,(株)新地衛生,大阪市浪速区恵美須西２-１２-１０
34.662049,135.489536,上野砂糖(株),大阪市浪速区塩草３－６－３
34.662374,135.494644,イサオ電機㈱,大阪市浪速区元町2-5-16高見ﾋﾞﾙ1F
34.6587194,135.5040215,浪速小学校,大阪市浪速区日本橋西1丁目7-6
34.665127,135.497208,難波元町小学校,大阪市浪速区元町1丁目5-30
34.656117,135.499072,敷津小学校,大阪市浪速区敷津東3丁目9-32
34.6535117,135.4966251,大国小学校,大阪市浪速区大国1丁目9-3
34.658014,135.4908394,栄小学校,大阪市浪速区浪速東1丁目1-61
34.6611803,135.4904532,塩草立葉小学校,大阪市浪速区塩草1丁目4-31
34.67082,135.484173,日吉小学校,大阪市西区南堀江4丁目9-19
34.6595,135.499635,浪速区役所,大阪市浪速区敷津東1－4－20
34.663469,135.495864,浪速消防署,大阪市浪速区元町1-14-20
34.665341,135.49821,ファミリーマート　四ツ橋なんば駅,大阪市浪速区難波中1-3-10
34.662308,135.497702,ファミリーマート　元町2丁目,大阪市浪速区元町2-1-3
34.664855,135.490314,浪速区民センター,大阪市浪速区稲荷2-4-3
34.664327,135.490925,ローソンストア１００　浪速稲荷　,大阪市浪速区稲荷1-10-16
34.666499,135.488272,ローソン　桜川2丁目,大阪市浪速区桜川2-9-14
34.665824,135.493789,ファミリーマート　小浦桜川1丁目,大阪市浪速区桜川1-4-3
34.657992,135.487806,ネットワーク事務所（にしはま住宅）,大阪市浪速区浪速西1-4
34.654572,135.489039,浪速消防署浪速出張所,大阪市浪速区浪速東3-11
34.654806,135.495583,ローソン　ナニワ大国2丁目,大阪市浪速区大国2-5-9
34.653853,135.493934,大国集会所,大阪市浪速区大国3-10
34.658595,135.496094,浪速図書館,大阪市浪速区敷津西1-5-23
34.655467,135.497505,ローソン　大国町駅前,大阪市浪速区敷津西2-2-8
34.656861,135.49457,ローソン　敷津西2丁目,大阪市浪速区敷津西2-13-13
34.656811,135.497419,ローソンストア１００　大国町駅前,大阪市浪速区敷津西2-1-5
34.657228,135.501327,ローソン　なんばＧＭタワー,大阪市浪速区敷津東2-1-24
34.656489,135.49818,ファミリーマート　大国町駅前,大阪市浪速区敷津東2-5-16
34.653229,135.502188,恵美会館,大阪市浪速区恵美須西2-13
34.659834,135.509831,浪速区老人福祉センター,大阪市浪速区下寺2-2-12
34.660709,135.507468,ローソン　日本橋4丁目,大阪市浪速区日本橋4-1-19
34.655084,135.505838,ローソン　浪速警察署前,大阪市浪速区日本橋5-5-20
34.6607,135.505593,ファミリーマート　日本橋4丁目,大阪市浪速区日本橋4-10-8
34.671061,135.485885,ローソン　南堀江4丁目店,大阪市西区南堀江4丁目4-8
34.671199,135.487067,宝船冷蔵　本社,大阪市西区南堀江３丁目１５?１４
34.662247,135.497486,豊丸産業㈱,大阪市浪速区元町２丁目１－８
